NOMBRE,GENEROS,bytesfiles,sampleratefiles,totalsamplesfiles,durationfiles
La Amare - Joe Arroyo.mp3,Salsa,2856731,44100,10281599,233.1
La Autopsia - Orq Zodiac.mp3,Salsa,4800471,44100,13068288,296.3
La Bailadora - Eddy Herrera.mp3,Merengue,4546328,44100,12367873,280.5
La Banda - Hector Lavoe.mp3,Salsa,3778408,44100,8201087,186
LA BANDA - THE LATIN SOUL.mp3,Son Montuno,4092549,44100,9024071,204.6
La Barca.mp3,Bolero Tradicional,3279919,44100,8877311,201.3
LA BATAOLA - La Renovación.mp3,Son Montuno,3260808,44100,8818561,200
La Batea.mp3,Salsa,4067843,44100,11048833,250.5
La Batidora - Rodrigo.mp3,Salsa,5121642,44100,11162881,253.1
La Bella Molinera.mp3,Son Cubano,3089365,44100,8352000,189.4
La Belleza De Mi  Negra Musica.mp3,Salsa,5771274,44100,15743231,357
La Belleza Del Son - Bobby Valentin.mp3,Guajira,5944945,44100,16222463,367.9
La Belleza Natural - Henry Fiol.mp3,Guaracha,8469076,44100,18543744,420.5
LA BICICLETA - DAMIRON.mp3,Guaracha,2451999,44100,6746680,153
La Bicicleta.mp3,Guaracha,11168931,48000,13341312,277.9
La Bikina - Celia Crúz.mp3,Guaracha,2871506,44100,7751807,175.8
La Bikina (Roth-Fuentes).mp3,Guaracha,7061117,44100,7719552,175
La Biselada.mp3,Guaracha,4379975,44100,11909376,270.1
LA BOA - Juan y Andres.mp3,Guajira,2799908,44100,7717246,175
La Boda De Anna - Orq Harlow - Omar Alfano.mp3,Salsa,4631380,44100,12601729,285.8
La Boda De Ella - Bobby Valentin.mp3,Salsa,5179659,44100,14113152,320
LA BODA DE ELLA -Bobby Valentín.mp3,Salsa,5218098,44100,14291713,324.1
La Bola.mp3,Salsa,5078097,44100,13833216,313.7
La Bolita - Luis Perico Ortiz.mp3,Merengue,5439532,44100,14829697,336.3
La Bolita (pregon) - Gran Combo - Andy Montañez.mp3,Guaracha,2274342,44100,6256511,141.9
La Bollera - Joe Arroyo.mp3,Guaracha,3132271,44100,8470656,192.1
La Borincana.mp3,Guaracha,4083045,44100,11180158,253.5
La Borinqueña - Fania All Star - Cheo Feliciano.mp3,Bolero Son,2154072,44100,5773823,130.9
La Botija De Abuelito - Típica  73.mp3,Pachanga,6877227,44100,18792576,426.1
La Botija Del Abuelito.mp3,Pachanga,6920390,44100,18793728,426.2
La Botijuela De Juan.mp3,Son Cubano,2226700,44100,5974271,135.5
LA BRASILERA - ESCALONA.mp3,Son Cubano,3408611,44100,7506887,170.2
La Brisa Y Yo - Tito Rodriguez.mp3,Pachanga,2308523,44100,6200063,140.6
La Buenaventura - Carlos Argentino.mp3,Son Cubano,2943423,44100,7949951,180.3
La Buroquena De Doña Ines.mp3,Salsa,3991819,44100,20430271,463.3
La Buruqueña De Doña Ines.mp3,Salsa,4687331,44100,12834431,291
La Buscaba - Naty Y Su Charanga  - Jam.mp3,Guaracha,4308992,44100,11872508,269.2
La Cabeza Del Lechon (Navidad) - Gran Combo.mp3,Guaracha,2267229,44100,6236928,141.4
La Calabaza.mp3,Salsa,3342088,44100,9048375,205.2
La Caldera Del Diablo - Orq Zodiac.mp3,Salsa,7329980,44100,20040192,454.4
La Calle Dolor.mp3,Salsa,3375107,44100,9240193,209.5
La Calle.mp3,Salsa,11038720,44100,12101759,274.4
La Campana Del Lechon.mp3,Salsa,3940547,44100,21641263,490.7
La Cancion Del Borracho - Bienvenido Granda.mp3,Bolero Tradicional,2947011,44100,8119295,184.1
La Candela - La Van Van De Cuba - Jam.mp3,Salsa,5101543,44100,13897724,315.1
La Candela.mp3,Salsa,5267778,44100,9676238,219.4
La Cara (Pachanga) - Gran Combo - Andy Montañez.mp3,Pachanga,2873278,44100,7907328,179.3
La Cara De Payaso - Fruko Y Sus Tesos.mp3,Salsa,2400376,44100,8604289,195.1
La Cara De Payaso - Joe Arroyo.mp3,Salsa,3994103,44100,8676865,196.8
La Caras Lindas.mp3,Salsa,17252397,48000,20641536,430
La Carcel Del Amor.mp3,Salsa,4734609,44100,12806783,290.4
La Carcel.mp3,Salsa,5376209,44100,14564152,330.3
La Carta - Oscar D' León.mp3,Salsa,4728001,44100,12868749,291.8
La Carta De Soledad.mp3,Salsa,4584525,44100,12395521,281.1
La Cartera - Orq Harlow - Junior Gonzales.mp3,Salsa,6233415,44100,17017344,385.9
La Cartera (1).mp3,Salsa,15608868,48000,18669312,388.9
La Cartera (En Vivo) - Orq Harlow - Junior Gonzales.mp3,Salsa,6478359,44100,17692416,401.2
La Cartera.mp3,Salsa,5975504,44100,16441343,372.8
LA CASA - ORLANDO MARIN.mp3,Pachanga,3398214,44100,7493062,169.9
LA CASA DE YAGUA - CELINA Y REUTILIO.mp3,Son Cubano,3647422,44100,8042566,182.4
La Casa De Yagua.mp3,Son Cubano,2990075,44100,8237952,186.8
LA CASA EN EL AIRE - ESCALONA.mp3,Guaracha,3561741,44100,7853639,178.1
LA CASA EN EL AIRE.mp3,Son Cubano,5632212,44100,15421825,349.7
La Casa Sin Ti.mp3,Salsa,4854391,44100,13216897,299.7
La Casa.mp3,Guaracha,2878262,44100,7721855,175.1
La Ceiba Y La Siguaraya.mp3,Salsa,9384966,44100,17135999,388.6
La Celosa.mp3,Salsa,5242456,44100,14242172,323
La Changa - Orq Dicupe.mp3,Salsa,4635778,44100,12614400,286
La Chaperona.mp3,Salsa,3295456,44100,9079479,205.9
La Chica De La Rumba.mp3,Son Cubano,2628352,44100,7081344,160.6
La chica light.mp3,Salsa,3838642,44100,7034110,159.5
La Chica Mas Popular.mp3,Salsa,4295137,44100,11675519,264.8
La China De Oriente - Andy Montañéz.mp3,Salsa,4022584,44100,11083871,251.3
LA CHOLA CADERONA - BUSH Y SU NUEVO SONIDO.mp3,Salsa,6531309,44100,14401536,326.6
La Chola Caderona (1).mp3,Salsa,7949779,44100,14499069,328.8
La Chopimoniaca.mp3,Salsa,6456106,44100,17631359,399.8
La Cicatriz - Gran Combo.mp3,Salsa,3900158,44100,10737793,243.5
LA CINTA VERDE - NELSON FELICIANO.mp3,Salsa,4171107,44100,11490616,260.6
La Cinta Verde.mp3,Salsa,4096918,44100,11279782,255.8
La Clave - Gran Combo.mp3,Salsa,3842055,44100,10577663,239.9
La Cocaleca.mp3,Salsa,4900594,44100,8984721,203.7
La Cocora - Gran Combo - Andy Montañez.mp3,Guaracha,2702315,44100,7436161,168.6
La Comadrona.mp3,Salsa,14029506,44100,15428736,349.9
La Comparsa.mp3,Salsa,1433751,22050,3788929,171.8
La Comprita.mp3,Guaracha,3399895,44100,9207937,208.8
La Conoci Bailando - Alex D'castro.mp3,Salsa,4134037,44100,11230261,254.7
La Consentida.mp3,Salsa,9167294,44100,12551060,284.6
La Conspiracion - El Dia Que N.mp3,Salsa,5340111,44100,14555519,330.1
LA COPA ROTA.mp3,Bolero Son,3854757,44100,8499457,192.7
La Coronela - Gran Combo.mp3,Son Montuno,4316445,44100,11885184,269.5
La Cosa Mas Linda Desperte Pesnsando.mp3,Bolero Tradicional,4656628,44100,12593080,285.6
LA COSA NO ES COMO ANTES.mp3,Salsa,4257565,44100,9387649,212.9
LA COSECHA DE MUJERES - DAMIRON.mp3,Salsa,3243047,44100,7150919,162.2
La Cosecha De Mujeres (2).mp3,Salsa,4032031,44100,7300222,165.5
La Cosecha De Mujeres.mp3,Salsa,3301058,44100,7165441,162.5
La Cosquillita - Federico.mp3,Salsa,3580548,44100,9705600,220.1
La Criada.mp3,Salsa,5075107,44100,12029184,272.8
La Crianza.mp3,Salsa,6000729,44100,16527161,374.8
La Critica.mp3,Salsa,4991795,44100,10843775,245.9
La Cuba Mia.mp3,Salsa,6785963,44100,12888576,292.3
La Culebra - La Conspiración.mp3,Guajira,7528037,44100,16468993,373.4
La Culebra.mp3,Guajira,5874358,44100,16162559,366.5
La Cumbancha.mp3,Guaracha,2915908,44100,7873920,178.5
La Cumbanchera De Belen - Celia Crúz.mp3,Guaracha,2476116,44100,6662013,151.1
La Cumbanchera De Belén.mp3,Salsa,6185491,44100,6754175,153.2
La Cumbanchera.mp3,Guaracha,2500673,44100,6729555,152.6
La Cumbiamba - Orq Harlow.mp3,Guaracha,3748616,44100,10168705,230.6
La Cumbita.mp3,Salsa,2636795,44100,7060608,160.1
La Cura - Frankie Ruiz.mp3,Salsa,4815071,44100,13108609,297.2
La Cura (1).mp3,Salsa,6993679,44100,12742269,288.9
La Cura.mp3,Salsa,5940961,44100,13097087,297
La Curandera - Gran Combo.mp3,Salsa,4271725,44100,11761919,266.7
La Danza Del Cocoye.mp3,Guaracha,7344280,44100,8031743,182.1
LA DANZA DEL MONO - LOS ORIENTALES.mp3,Guaracha,3282198,44100,7237247,164.1
La De Uno - Hansel Camacho.mp3,Salsa,4607766,44100,12688127,287.7
La Descarga De Frank.mp3,Salsa,6846464,44100,7474176,169.5
La Despedida.mp3,Bolero Tradicional,3822470,44100,10372607,235.2
La Dicha De Tenerte - Jerry Galante.mp3,Salsa,2954268,44100,10639871,241.3
La Dicha Mia - Celia Cruz.mp3,Guaracha,3226977,44100,8731574,198
La Dicha Mia -C.mp3,Guaracha,5673558,44100,15474817,350.9
La Dicha Mia.mp3,Salsa,5638988,44100,15329664,347.6
La Diosa De La Rumba - Bienvenido Granda Con Sm.mp3,Salsa,2763945,44100,7614719,172.7
La Discusion se Acabo.mp3,Salsa,10837024,44100,11942880,270.8
La Disponible.mp3,Son Cubano,10201474,44100,11193984,253.8
La Divine-Habana Con Kola.mp3,Son Cubano,3925764,44100,10814389,245.2
La Dueña De Mi Corazon - Maelo Ruiz.mp3,Salsa,4597335,44100,12659327,287.1
La Enamorada De Un Amigo Mio - Nelson Pinedo.mp3,Salsa,2685520,44100,7239167,164.2
La Engañada - Naty Y Su Orq.mp3,Salsa,4756144,44100,13097088,297
La Envidia Y La Tumba - Hnos Lebrón.mp3,Son Montuno,3250186,44100,8795519,199.4
La Era De La Siceridad.mp3,Salsa,4388666,44100,12084618,274
La Era De La Sinceridad - Amilkar Boscan.mp3,Salsa,4327630,44100,11923769,270.4
La Era De La Sinceridad.mp3,Salsa,10933229,44100,11987996,271.8
LA ESENCIA DE GUAGUANCO.mp3,Salsa,3929738,44100,10825343,245.5
La Esencia Del Guaguanco.mp3,Salsa,2050677,22050,5489281,248.9
La Espinita - Bobby Valentin.mp3,Salsa,5747244,44100,15677569,355.5
La Espuma Y La Ola.mp3,Salsa,12309207,44100,13568256,307.7
La Esquina Del Movimiento.mp3,Guaracha,2517575,44100,6774912,153.6
La Experiencia Te Habla.mp3,Salsa,4984908,44100,13492224,305.9
La Fama - Hector Lavoe.mp3,Salsa,5047452,44100,13900033,315.2
La Familia.mp3,Salsa,11606213,44100,12729828,288.7
La Felicidad.mp3,Merengue,5092594,44100,13787137,312.6
La Feria Del Mundo.mp3,Salsa,4746049,44100,12837888,291.1
La Fiera.mp3,Salsa,4903078,44100,13268149,300.9
LA FIESTA DE LOS RATONES - TRIO LA ROSA.mp3,Son Cubano,3039272,44100,8369846,189.8
La Fiesta De Los Ratones.mp3,Son Cubano,3912153,44100,8496000,192.7
La Fiesta De Pilito - Gran Combo.mp3,Salsa,3748454,44100,10319615,234
La Fiesta De Soneros.mp3,Salsa,5566548,44100,10225945,231.9
LA FIESTA NO ES PARA FEOS - LOS GUARACHEROS.mp3,Guaracha,2638869,44100,7267385,164.8
La Fiesta No Es Para Feos.mp3,Guaracha,3410116,44100,7388929,167.5
La Fiesta Se Pone Buena.mp3,Salsa,4929382,44100,13340159,302.5
La Filosofia Del Amor.mp3,Salsa,5345167,44100,14547457,329.9
La Flaca - Bobby Valentin.mp3,Salsa,4021905,44100,10922112,247.7
LA FLACA (Johnny Vazquez-Bobby Valentìn).mp3,Salsa,4017008,44100,10998143,249.4
LA FLAUTA DE BARTOLO - JOE QUIJANO.mp3,Pachanga,2826414,44100,7784543,176.5
La Flauta De Bartolo.mp3,Pachanga,2820790,44100,7771393,176.2
La Flauta De Cachana.mp3,Pachanga,3853560,44100,10393345,235.7
La Flor De Mi Vida.mp3,Salsa,4643223,44100,10107647,229.2
La Foule (Que Nadie Sepa Mi Sufrir) - Camilo Azuquita.mp3,Salsa,4672695,44100,12715775,288.3
La Fruta Bomba.mp3,Salsa,5094784,44100,9252862,209.8
La Fruta Ja Ja.mp3,Pachanga,3598853,44100,7804800,177
La Fuente.mp3,Salsa,3933020,44100,10611072,240.6
La Fuga (1).mp3,Salsa,11024884,48000,13168512,274.3
La Fuga Pa' L Monte.mp3,Salsa,3937875,44100,8569728,194.3
La Fuga Pa´l Monte.mp3,Guaracha,4792486,44100,8697597,197.2
La Fuga.mp3,Salsa,3970521,44100,10780416,244.5
La Fuga-Pedro Brull.mp3,Salsa,4094853,44100,11257498,255.3
LA FUMA DE AYER - HENRY FIOL.mp3,Salsa,5060124,44100,11157573,253
La Gaga - Cuarteto Flores.mp3,Son Cubano,3186426,44100,8614657,195.3
LA GAGA - GAMUZA Y CHAROL.mp3,Son Cubano,4082500,44100,11246393,255
La Gente Dice.mp3,Salsa,4266305,44100,11596032,262.9
La Gente Pide Changui.mp3,Son Cubano,4262936,44100,11416321,258.9
La Gente Quiere Bailar - Pedro Arroyo.mp3,Salsa,7135606,44100,19655425,445.7
La Gitana - Bobby Valentin.mp3,Salsa,4519695,44100,12294143,278.8
La Gloria Eres Tu - Vicentico Valdes Con Rondalla Venezolana.mp3,Bolero Tradicional,2996906,44100,8097408,183.6
La Gloria Eres Tu - Vicentico Valdéz.mp3,Bolero Tradicional,3639936,44100,7895807,179
La Gorda.mp3,Salsa,5189274,44100,14139648,320.6
La Gorra- Andy Montañez.mp3,Son Montuno,5584530,44100,15388984,349
La Gota Fria { Mix }.mp3,Salsa,7492922,44100,16331207,370.3
La Gota Fria.mp3,Salsa,5402517,44100,14681204,332.9
La Gotera - Foto Rodriguez Y Su Orq.mp3,Salsa,4131854,44100,11225087,254.5
La Gotera- Sonora Ponceña.mp3,Salsa,5226829,44100,14393656,326.4
La Gringa - Cano Estremera - Bobby Valentin.mp3,Salsa,4261414,44100,11582209,262.6
La gringa.mp3,Salsa,10723328,44100,29481983,668.5
La Guagua - Celia Cruz - Sonora.mp3,Guaracha,2500608,44100,6886653,156.2
La Guagua - Celia Cruz.mp3,Salsa,2516241,44100,6772608,153.6
La Guagua.mp3,Salsa,6278474,44100,6856703,155.5
La Guajira.mp3,Guajira,13417436,44100,24650496,559
La Guarachera        R Davila.mp3,Guaracha,2703616,44100,7288705,165.3
La Guarapachanga.mp3,Guaracha,2879557,44100,7773697,176.3
La Guarapera.mp3,Guaracha,4635372,44100,12534912,284.2
La Guerra De Los Callados.mp3,Salsa,4370432,44100,12040703,273
La Habana Joven - Van Van.mp3,Bolero Tradicional,4603114,44100,12524543,284
La Habana No Aguanta Mas - Van Van.mp3,Son Montuno,5313644,44100,14482942,328.4
La Habana Si - La Van Van.mp3,Salsa,5037118,44100,13720320,311.1
La Herencia.mp3,Salsa,16961539,44100,18634752,422.6
La Hiedra - Angel Canales.mp3,Bolero Tradicional,4820111,44100,13114935,297.4
LA HIJA DE LA VECINA (Sammy González).mp3,Salsa,4186112,44100,11534975,261.6
LA HIJA DE LOLA (Charlie).mp3,Salsa,4333568,44100,11939328,270.7
La Hija Dejuan Simon.mp3,Bolero Tradicional,2911590,44100,8019072,181.8
LA HIPOTECA - ROQUE KORA.mp3,Salsa,4707599,44100,10379974,235.4
La Historia De Tania Y Juan - La Van Van.mp3,Salsa,4674344,44100,12720383,288.4
La Historia Del Niño Dios.mp3,Salsa,5249797,44100,14306688,324.4
La Humanidad - Angel Canales.mp3,Salsa,7326504,44100,16024703,363.4
LA HUMANIDAD- BUSH Y SU NUEVO SONIDO.mp3,Bolero Tradicional,16365004,44100,18037478,409
La Humanidad.mp3,Bolero Tradicional,9879477,44100,18044035,409.2
La Identidad (Dayan).mp3,Salsa,13029424,44100,14360001,325.6
La Incondicional.mp3,Salsa,4567267,44100,12348287,280
La India Soberbia.mp3,Son Cubano,2339905,44100,6115967,138.7
La Isla Bonita.mp3,Salsa,4499203,44100,12237695,277.5
La Isla Del Encanto - Celia Cruz.mp3,Guaracha,2545916,44100,6854400,155.4
La Joda.mp3,Guaracha,5286895,44100,14319361,324.7
La Juliana.mp3,Salsa,11120512,44100,12216960,277
La Juma De Ayer - Henry Fiol.mp3,Salsa,7553406,44100,20655872,468.4
La Juma De Ayer Pio Leiva.mp3,Salsa,4542691,44100,12355199,280.2
La Juma De Ayer Wilfrido Guevara.mp3,Salsa,2795974,44100,7543297,171
La Juma De Ayer.mp3,Salsa,2920535,44100,7886593,178.8
La Lengua Vipirina.mp3,Salsa,9206547,44100,10096128,228.9
La Leonor - Bobby Valentin.mp3,Salsa,3812508,44100,10344959,234.6
La Let #10 - Gran Combo.mp3,Guaracha,3442490,44100,9476351,214.9
La Ley De La Jungla - Henry Fiol.mp3,Salsa,4309861,44100,11715840,265.7
La Ley De La Vida.mp3,Salsa,8593408,44100,9400320,213.2
La Ley.mp3,Salsa,9598387,48000,11517696,240
La Leyenda ++++++++.mp3,Salsa,8150228,44100,11227715,254.6
La Libertad.mp3,Salsa,12011524,44100,13237766,300.2
La Llave -  'siempre Vivire Celia Cruz' - Jam.mp3,Bolero Tradicional,4727254,44100,12865533,291.7
La Llave.mp3,Salsa,14987968,44100,16519296,374.6
La Llorona (1).mp3,Merengue,11845690,44100,12994560,294.7
La Lluvia.mp3,Guaracha,2833663,44100,7599745,172.3
LA LOMA DE BELEN.mp3,Guaracha,4000078,44100,10951480,248.3
La Loma Del Tamarindo - Fruko Y Orquesta.mp3,Salsa,6420412,44100,14026752,318.1
La Loma Del Tamarindo - Gran Combo.mp3,Guajira,5029503,44100,13850495,314.1
La Loma Del Tamarindo (Remix) - Gran Combo.mp3,Salsa,6430936,44100,17713151,401.7
la loma del tamarindo-gran combo.mp3,Guajira,7978004,44100,21989374,498.6
La Loma Del Tamarindo-Rmx.mp3,Guajira,16243900,44100,17903961,406
La Loteria - Hansel & Raul.mp3,Guaracha,5923554,44100,12931200,293.2
La Luna Sobre Nuestro Amor.mp3,Salsa,4853679,44100,13292928,301.4
La Luna Y El Toro - Gabino Pampini.mp3,Guaracha,4020756,44100,11078783,251.2
La Luz De La Suerte - Bobby Valentin.mp3,Salsa,4096313,44100,11127169,252.3
La Madama.mp3,Salsa,13494989,48000,16132608,336.1
La Magia De Tu Amor (1).mp3,Salsa,4462589,44100,12102914,274.4
La Magia De Tus Besos.mp3,Salsa,11359230,44100,12518612,283.9
La Mal Pensa - Gran Combo.mp3,Salsa,4514142,44100,12430081,281.9
La Mal Pensa.mp3,Salsa,8105984,44100,18587231,421.5
La Mala De La Pelicula.mp3,Guaracha,13461640,44100,14836519,336.4
La Malanga.mp3,Salsa,3977104,44100,10798847,244.9
La Mama Y La Hija - Carlos Argentino.mp3,Salsa,3488965,44100,7562881,171.5
La Mama Y La Hija.mp3,Salsa,2780055,44100,7498370,170
La Manguera.mp3,Guaracha,2358350,44100,6337151,143.7
La Mania De Mamaita - Celia Crúz.mp3,Guaracha,2507046,44100,6747264,153
La Mania De Mamaita.mp3,Guaracha,6228314,44100,6801407,154.2
La Mania De Mi Mujer-Ismael Rivera.mp3,Salsa,3858683,44100,10606554,240.5
La Mania De Tu Mujer.mp3,Salsa,5818818,44100,12658175,287
La Mano - Jimmy El León.mp3,Salsa,5502461,44100,12002688,272.2
La Mano - Oscar D´león.mp3,Salsa,4731014,44100,12877054,292
La Manzana Grande.mp3,Pachanga,7495978,44100,13665023,309.9
La Maquinaria.mp3,Pachanga,3613096,44100,9929655,225.2
La Marea (1).mp3,Son Cubano,12941786,44100,14203008,322.1
La Margarita.mp3,Salsa,3653597,44100,9907200,224.7
La Maria - Hector Lavoe - Willie Colon.mp3,Salsa,3428867,44100,9287424,210.6
La Maruga - Orq Harlow.mp3,Son Cubano,4080051,44100,11082239,251.3
La Mas Bella.mp3,Salsa,4651409,44100,12657590,287
La Mas Fea.mp3,Son Montuno,6432073,44100,11816382,267.9
La Mascara De Gato - Gran Combo.mp3,Salsa,3265710,44100,8989057,203.8
LA MATO.mp3,Guaracha,2626831,44100,7189047,163
La Mazucamba - Gran Combo.mp3,Salsa,3244800,44100,8931457,202.5
La Medicina Cubana -  'siempre Vivire Celia Cruz' - Jam.mp3,Salsa,3804828,44100,10323069,234.1
La Medicina.mp3,Guaracha,4684620,44100,12669696,287.3
La Medicinal - Gran Combo.mp3,Salsa,4675892,44100,12875905,292
La Mela.mp3,Pachanga,3553393,44100,7704576,174.7
La Melena - Gran Combo.mp3,Salsa,3503510,44100,9644543,218.7
La Mellada.mp3,Salsa,4607901,44100,10440576,236.7
La Melodia.mp3,Pachanga,2886159,44100,7792128,176.7
La Melodía.mp3,Pachanga,8373655,44100,15277822,346.4
La Mente En Blanco.mp3,Salsa,5093545,44100,13948414,316.3
La Mentira.mp3,Bolero Tradicional,3853361,44100,10457855,237.1
La Mentirosa.mp3,Salsa,3759169,44100,10293119,233.4
La Merenguita - Celia Cruz.mp3,Guaracha,2535049,44100,6824447,154.7
La Misma Quimica - Primi Cruz.mp3,Salsa,6242765,44100,13635072,309.2
La Mitad.mp3,Salsa,5975201,44100,16205703,367.5
LA MODERNA -Ray Barreto-.mp3,Pachanga,2371294,44100,6490368,147.2
La Montaña - Fania All Star.mp3,Bolero Tradicional,4088785,44100,11106431,251.8
La Montaña - Vicentico Valdéz.mp3,Bolero Tradicional,3457602,44100,7493761,169.9
La Montura Y El Caballo - Federico.mp3,Salsa,3339813,44100,9042049,205
La Moral.mp3,Salsa,6850484,44100,12583296,285.3
La Mucura - Celia Cruz.mp3,Guaracha,2655839,44100,7157375,162.3
La Mucura.mp3,Guaracha,2598626,44100,6999552,158.7
La Muerte - Gran Combo.mp3,Salsa,4163050,44100,11462400,259.9
La Muerte (Montuno) - Gran Combo.mp3,Guaracha,2856529,44100,7861247,178.3
La Muerte (Remix) - Gran Combo.mp3,Salsa,5985368,44100,16485120,373.8
La Muerte De Marcela (1).mp3,Guajira,2666532,44100,7133183,161.8
La Muerte Duele Igual Cuando Es Por Sida.mp3,Salsa,4217985,44100,11462400,259.9
La Muerte Enamorada.mp3,Salsa,4507917,44100,12261889,278
La Muerte-Rmx.mp3,Salsa,15132040,44100,16678135,378.2
La Mujer De Juan  - Daniel Santos.mp3,Son Cubano,3641906,44100,7898112,179.1
La Mujer De Juan.mp3,Son Cubano,2906279,44100,7847424,177.9
La Mujer De Mi Vecino - Cuco Valoy.mp3,Salsa,4310958,44100,11719297,265.7
La Mujer Del Peso Sara N Rodriguez.mp3,Guaracha,2456593,44100,6607872,149.8
La Mujer Que Me Domina.mp3,Salsa,6662822,44100,12134014,275.1
La Mujer Y La Primavera - Bobby Valentin.mp3,Salsa,4974449,44100,13547520,307.2
La Mujer Y No La Esclava - Bobby Valentin.mp3,Salsa,4643008,44100,12633983,286.5
La Mulata Rumbera.mp3,Son Cubano,3432932,44100,9298945,210.9
La Mulata.mp3,Son Cubano,2869956,44100,7747201,175.7
La Murga - Panameña.mp3,Pachanga,5118903,44100,13946110,316.2
LA MUY MUY.mp3,Son Montuno,5581680,44100,15288191,346.7
La Negra Cacha.mp3,Guajira,3092148,44100,8516735,193.1
La Negra Fulana.mp3,Salsa,5202215,44100,14247935,323.1
La Negra Leonor.mp3,Son Cubano,3185078,44100,8615809,195.4
La Negra No Quiere { Nuevo }.mp3,Salsa,7005661,44100,15262150,346.1
La Negra No Quiere.mp3,Salsa,14367041,44100,15837923,359.1
LA NEGRA SANDA - HENRY FIOL.mp3,Salsa,4197020,44100,11562039,262.2
La Negra Sanda + Henry Fiol.mp3,Salsa,5265415,44100,11479680,260.3
La Negra Sanda.mp3,Salsa,4618312,44100,9878400,224
La Negra Tomasa.mp3,Salsa,2278461,44100,6117119,138.7
La Negrita Sandunguera.mp3,Guaracha,6297294,44100,6877439,156
La Niche - La Conspiración.mp3,Salsa,6952820,44100,15200639,344.7
La No Cien - Alberto Beltrán.mp3,Bolero Tradicional,2660058,44100,7323265,166.1
La Noche Entera.mp3,Salsa,5590503,44100,13040640,295.7
La Noche Mas Linda.mp3,Salsa,5493666,44100,15140153,343.3
La Noche Morena + Vicentico Valdéz.mp3,Bolero Tradicional,3717781,44100,8067456,182.9
La Novia Automatica - Bobby Valentin.mp3,Salsa,4457454,44100,12122495,274.9
LA OLA MARINA - SEXTETO TIPICO.mp3,Son Cubano,5161968,44100,14226616,322.6
La Ola Marina.mp3,Pachanga,11531853,48000,13837824,288.3
La Oportunidad.mp3,Salsa,10081026,48000,12092011,251.9
